   		    0	    1	    2	    3	    4	    5	    6	    7	    8	    9	   10	   11	   12	   13	   14	   15	   16	   17	   18	   19	   20	   21	   22	   23	   24	   25	   26	   27	   28	   29	   30	   31	   32	   33	   34	   35	   36	   37	   38	   39	   40	   41	   42	   43	   44	   45	   46	   47	   48	   49	   50	   51	   52	   53	   54	   55	   56	   57	   58	   59	   60	   61	   62	   63	   64	   65	   66	   67	   68	   69	   70	   71	   72	   73	   74	   75	   76	   77	   78	   79	   80	   81	   82	   83	   84	   85	   86	   87	   88	   89	   90	   91	   92	   93	   94	   95	   96	   97	   98	   99	  100	  101	  102	  103	  104	  105	  106	  107	  108	  109	  110	  111	  112	  113	  114	  115	  116	  117	  118	  119	  120	  121	  122	  123	  124	  125	  126	  127	  128	  129	  130	  131	  132	  133	  134	  135	  136	  137	  138	  139	  140	  141	  142	  143	  144	  145	  146	  147	  148	  149	  150	  151	  152	  153	  154	  155	  156	  157	  158	  159	  160	  161	  162	  163	  164	  165	  166	  167	  168	  169	  170	  171	  172	  173	  174	  175	  176	  177	  178	  179	  180	  181	  182	  183	  184	  185	  186	  187	  188	  189	  190	  191	  192	  193	  194	  195	  196	  197	  198	  199	  200	  201	  202	  203	  204	  205	  206	  207	  208	  209	  210	  211	  212	  213	  214	  215	  216	  217	  218	  219	  220	  221	  222	  223	
 57		43838	13610	29132	39990	43365	 6934	46898	58242	 3380	43714	33596	29949	23870	32805	51078	 3234	41164	55070	43124	30434	30682	 7526	26976	10608	 2584	37405	39278	28637	51295	57073	26868	55912	48277	45059	18649	15261	10972	 3229	14999	38002	33375	23255	50733	22293	13750	 9785	34638	40523	54290	27779	35317	20681	14830	18667	48752	36394	22279	25414	 3873	32840	24978	40196	49463	55299	57452	44701	23762	13694	 9169	38418	51360	31373	37960	37577	49201	50513	 4100	20984	47717	32732	23333	20993	24300	 6920	44240	51267	 9222	35466	42468	15409	26631	57586	14323	15421	19487	25267	21710	41049	35943	40689	26801	49920	26882	48730	14751	 7486	14166	36792	11864	20233	57629	30183	 3828	  265	12431	 1657	59047	16139	24885	 2825	 6879	44823	15764	39423	13091	 2476	34179	31601	50118	 5347	37881	39995	28906	  942	17395	29291	32700	46331	13996	24705	56954	 9893	 6791	26726	24688	 3853	27421	17999	  194	51029	57388	59643	24301	44449	23601	45603	16799	21817	23071	22754	38567	26561	51506	26021	26887	14753	39861	27449	32082	15446	41208	47501	39403	20237	 3372	22930	19151	19993	58333	58502	21793	45765	52913	31053	45102	39209	 8651	25881	13198	 8810	 3440	44957	 8638	16417	13377	27867	57705	 6121	 5540	 6695	56084	39513	30349	 3577	 4154	28602	20645	16273	56367	57428	11314	25097	57990	39132	23352	57749	48643	21845	20748	28273	35631	25768	54264	33916	
 58		14485	43361	20793	20039	23663	10505	23492	18592	25096	26151	40751	26613	53541	15344	58327	46601	12007	 9809	 7726	23991	 6059	 4179	27646	44216	31126	 1671	18041	17891	21659	54172	50498	11214	54653	39659	34832	 7616	 6204	33723	44276	46339	19428	34872	57907	 6710	16548	50146	39900	16388	53146	34026	31049	29513	21177	12682	 3194	18979	40757	33448	  919	 3817	17888	59466	17719	17512	48312	 6986	59713	11440	37396	29223	 1017	40401	32632	12588	48328	55842	15843	 7950	34135	58857	45762	51021	 2374	23310	 7670	33441	50562	59395	56056	15625	 9907	39386	59538	52478	14081	15086	42907	 4243	59407	54014	46109	38361	37126	 4851	17031	49216	 1681	20719	  458	43252	22871	51717	43010	59802	23267	32326	 7092	46336	 7064	 6901	30461	34198	14556	28135	41758	38957	28666	54586	56490	53839	53707	48775	32068	47849	21502	20819	32490	51046	51314	40395	57885	32181	22577	46655	27590	47604	47708	12605	42098	53007	45859	11265	57306	16327	37272	 3975	  440	24054	37835	32936	33987	47629	 7760	50257	32514	 9817	51341	 1049	39824	 2666	16037	28133	25601	14986	    3	30195	53790	54474	28688	48065	  626	52560	39924	22976	19880	30854	25555	 9918	25767	26632	53959	13731	27732	47859	54638	37492	 2835	51881	52477	18507	46775	 2759	23270	40029	11063	55598	49024	 7602	25738	38228	42059	50635	31468	25931	57444	29100	26433	39735	36292	 6345	50506	22160	27817	 2019	
 59		35259	45247	52461	55241	32153	20303	45443	59807	53784	42862	41741	58948	26065	46669	   26	53698	55485	  166	17422	31188	13288	50303	40607	41646	43900	 3249	 3344	 6957	18822	51678	20818	 4599	42161	47310	20085	57025	54150	27450	41140	48349	48212	39766	38783	 5034	35721	51188	38300	 8159	13392	37437	15418	24429	34635	39919	47155	 2260	18104	19786	 6751	45237	12612	25349	44014	17935	16987	58095	29924	33705	19265	29498	57702	19564	53668	57594	58201	38121	38515	45511	15308	  856	46445	58739	 8548	19176	29467	 5592	  589	41921	41255	47732	56464	19810	56341	27496	34138	43426	15924	49209	44340	58708	31314	30848	12891	58419	 8655	50280	55117	51552	31008	28598	 8567	  794	10211	19849	 1754	42644	 8350	53389	 2807	24500	20360	13842	28821	25110	52548	20492	25478	10373	38906	40675	22591	38508	21916	38731	42372	26798	12808	18762	44806	  705	57577	42237	23673	 8400	22826	26697	43202	14240	55872	19090	 2489	46332	49075	45563	42092	  279	59721	35747	26529	17290	55348	 9248	22230	23069	10519	19057	13121	48121	15713	54380	21536	 7391	29053	25263	48624	25647	10483	58305	43329	  821	 6060	33041	59800	 6719	 5047	32141	58271	19719	32552	 8787	23583	39375	28244	  399	 6027	11688	17368	16397	35271	37162	42539	46567	 9663	28541	18165	 1818	34101	39206	45375	34436	 2965	16315	27916	26044	 8062	 7492	15859	18231	52855	54532	 5987	37892	  718	57297	
 60		13856	31676	49761	36478	59855	26811	56118	18255	31486	17223	 1608	30460	54609	31375	18992	27517	32270	16179	29442	19424	21942	15661	 4751	  885	21593	25631	16575	46729	26796	36126	18316	38561	 2470	 2479	57450	26331	54799	44886	 6242	13714	54443	56636	   82	52754	 9859	15890	 9043	43812	 5565	42046	 6491	30793	 6553	23514	 9190	 8397	  133	35838	12361	 6030	10424	36457	13169	27531	52225	39322	 8685	33017	19106	57669	20887	57728	49793	46629	14886	   28	28924	31786	42370	49771	48532	43837	21461	22884	38151	58659	17581	18737	28744	52037	13381	 6347	22510	13218	32377	 2539	22299	30555	27513	10417	29232	 5342	23413	54129	31152	11477	51066	 5163	  605	40269	54261	21364	45812	30444	23056	33909	49972	45087	19423	 8205	32680	34840	23850	49343	29761	 6729	30235	17655	 3923	59856	 6717	19536	50386	 9601	12251	27825	17605	30579	27940	40359	50997	23668	37014	45992	50841	58918	18513	22668	 1863	54795	 1872	 6284	46664	 1455	10866	 1882	57515	22906	25848	23349	29401	23903	 8084	16849	56254	25404	51368	56604	    5	24159	30518	51865	11060	31438	17868	49437	48949	24431	 4995	34403	12090	22809	58433	36304	18747	29054	40270	27445	 8203	54045	20036	37752	36386	36778	 4246	34943	52365	15690	17759	20772	52616	50269	24559	59753	14885	18574	50156	 2521	17773	48201	12829	11369	21734	25643	37095	47031	49235	 7216	55970	35506	33863	 2223	 1083	 2742	
 61		17779	47096	51848	11870	39810	17612	38611	48151	13992	58390	32321	26147	59827	34818	33110	46137	10667	29061	26924	51063	59332	56203	25603	58062	 1421	23733	53937	42374	 7694	21643	15199	54943	37893	57257	11372	13507	22425	45173	39362	19641	26962	17952	 2236	 4136	18980	27294	35660	47006	28126	11994	37132	 8092	46391	 5757	30909	35526	 2149	45801	 1574	17743	 7548	47699	51156	54301	 6196	28027	 2408	20306	49446	56462	57453	21319	28445	36216	47444	  387	12644	22218	54131	38209	34795	41485	47566	49411	51299	35934	38679	26472	35368	49224	12756	42974	17072	35869	33932	43804	  925	14306	22547	30033	 3406	30263	34270	18167	51200	32719	26910	 6440	45962	31867	23737	39085	41094	19828	59151	49892	45033	33594	39196	55217	21281	14506	 4107	10554	 5543	19696	54409	  435	15506	35652	32951	38958	44614	23345	50836	12889	40232	18438	 3554	19244	21993	21046	41328	59282	35680	30347	17874	29863	58997	10411	39763	58630	56375	 9837	 7258	42415	34936	58898	42400	18111	41975	34049	52849	 4427	27152	26202	36521	28469	53428	 8110	 9579	18405	28142	37756	35149	  113	 9290	 6979	52160	47976	17454	53850	21873	33120	27273	52144	 7294	58529	 4870	56365	 6383	41611	50140	  979	31599	50291	 2632	 6303	18155	37525	48612	32918	53934	58394	45627	53058	37622	25697	44730	44522	25918	 7995	10971	17194	 6124	36420	54200	42648	34580	46504	59569	 8733	24341	57639	
 62		  907	42684	44442	47714	 5491	22209	52000	17143	 7681	30861	56075	29516	26132	 3325	26218	 3647	15889	37722	20212	15085	22047	 4706	12695	54451	43274	39588	17144	59864	36155	 7939	44995	29411	21476	 4688	14585	43560	25165	58090	32488	59832	13560	46638	51116	13757	 4829	 9508	41366	 2399	19642	 3879	45733	25758	58466	56804	29031	35214	46013	52745	34301	 3507	56335	14937	33926	47032	12195	24565	28349	46814	22188	21065	56446	 8831	 6341	33159	 2528	45876	31953	53696	48031	42235	12299	51022	18378	12966	45390	 7782	30234	 8749	55651	51224	 1460	58211	13605	33386	18335	49971	37937	40178	19254	15416	37897	33611	35665	 8584	57330	25281	26702	11102	40351	 7200	53273	 5606	16783	28048	12233	 6602	  556	39979	50830	56700	51866	59814	12122	13140	13844	16976	10600	36345	34392	39881	 2640	 7259	13093	24491	14563	33997	39144	53278	49696	27416	19475	29041	30318	23053	24345	 6296	 3044	48702	45210	23735	42083	37485	25854	32762	56200	21491	45862	57201	19445	21406	30888	56060	55162	13851	18467	43020	12313	  372	39031	43009	34540	42851	 2972	28089	44085	21373	12685	15146	32466	38694	49593	52031	42813	58116	57697	21366	19715	38329	54434	24678	 4898	52451	13208	30503	42296	44196	25662	11636	18048	13539	20357	30784	16632	31543	46636	51942	 5546	18588	36477	 8516	19179	26556	53560	49137	 2268	12241	11146	28483	56556	53978	45969	59786	50039	 3860	
 63		 1395	 6478	25576	29356	26121	43565	 2955	 3614	44940	46722	57944	18506	11103	57647	17188	57792	13190	 6443	25562	37621	16552	42519	28434	24860	34870	44001	39002	 8993	12794	39578	36451	43780	 6586	  385	31733	29962	55395	19779	 4058	36756	45828	24611	12912	15233	31740	15475	  729	 2968	 6626	22523	31652	31226	44415	50637	 9838	15963	   45	 5791	19640	32406	31994	21962	 8947	 9811	44588	15572	27282	13253	52809	 2411	 8654	 8328	 4650	48867	51479	14961	 6499	59918	31529	45026	18593	11679	 3618	32615	44919	16838	39312	23717	 9661	 5449	34146	13489	41733	34548	 9283	18615	32042	12238	25066	45984	33324	27710	15874	24239	44314	24517	36048	56763	 6359	43102	58788	12076	29266	27433	20510	18787	 3426	18989	 4705	31690	26581	39999	39411	33502	24035	20151	45050	54077	59130	48710	34173	35269	18458	57677	21391	 2603	33138	31449	36017	31713	39548	41176	 1461	20007	 5657	39334	57210	33026	41446	11290	58961	13911	14713	  101	58640	57045	53738	46378	40041	42614	22356	40425	 9527	58504	49709	45077	 3230	56710	36970	58860	50603	44180	 3047	39994	41471	49027	44905	17483	24528	31525	17991	 4869	20741	16798	48697	 7572	35674	39533	 7300	36684	46375	43797	57894	34939	15459	54718	26755	  108	24970	 4686	45719	28740	17436	  506	31315	12817	58203	57178	29324	45430	41557	49819	33913	44482	38837	13977	32135	 9139	 2688	42952	50670	30645	 6095	34964	
 64		40879	41158	 5902	56580	48606	46075	50935	52430	55497	 6253	19966	50187	 3132	55460	40695	48410	40503	53237	29107	26380	22045	  755	 4433	 2377	22229	24602	51568	13379	27948	16500	47299	28513	49050	52928	 7070	 6472	51737	34897	49687	15640	36337	40381	52556	22721	41802	40717	24284	50364	58189	40511	10721	11842	48774	23794	23784	56594	58734	51273	 5405	58721	50246	45668	22500	10232	10057	 4674	 2368	34099	 3423	18651	 3059	23402	58401	54080	 3862	56410	21767	10065	 4021	48824	16822	43653	29008	 1971	23295	44641	52938	 9053	43670	 4807	51393	29062	48221	21527	 9683	56543	38772	37699	56429	16470	43405	34255	 4390	32156	 5477	50778	56548	 6446	12684	 5910	22162	40645	23843	17400	29875	56054	24426	14532	 2748	20959	 5953	17242	18601	42349	31933	28043	39532	33060	32775	 7351	37169	  417	 3510	24998	47994	49740	12406	30406	50173	45028	59958	11335	51377	 5504	 5964	40480	 5467	25034	22132	16789	47615	55127	  652	 9390	25285	17112	51252	29841	38119	27139	31187	50412	 4439	 3122	19205	11647	57482	57166	28793	 1801	38798	55693	30780	38554	20686	22749	28754	43626	17783	51618	27256	12101	14034	31981	 2727	 3289	55296	56086	40620	 5309	22031	44527	19476	38082	20131	26326	25692	  349	28430	56209	20355	44320	 9513	10484	  724	10035	41936	44250	44346	13959	45857	24279	18514	24184	 9555	19931	 6375	 8488	36398	15768	15210	 8574	59157	 3027	
 65		26679	23874	38224	50054	11742	 1304	50932	51307	56529	45663	 3598	42325	53991	 5707	13300	 4952	59865	30455	28569	40419	40544	55454	18711	17201	48195	 5170	 3404	32464	58705	56538	21357	46732	20304	48948	11764	50171	15058	51891	10559	41970	 8361	11478	15062	43479	  852	32759	37036	20016	 1580	33108	39708	 1516	53674	36558	 1050	25327	45871	15524	51617	25672	18341	53800	44481	19630	35186	41929	36144	51929	36014	54592	45400	25071	  497	45407	12579	50529	21336	14569	51786	43938	 4174	 5264	20752	24867	 7667	10044	49736	37763	19305	40512	45662	36929	24119	13973	 4285	31697	18238	55055	 9879	31159	56808	50324	25138	21264	43490	48477	28677	35892	 1068	32121	58839	 1483	35976	13481	35672	 7425	17027	16344	57126	59403	44298	21785	52840	26242	41963	 2773	34570	48252	27809	  969	17751	49264	 1351	55030	23194	22710	52567	38213	21262	54356	25176	58117	 2364	44393	23131	42864	51179	15449	43690	30179	51458	24056	 7570	18975	 4137	35682	20560	51828	47025	 6522	30570	 8297	34828	47946	58454	57631	40474	59708	30916	 4849	 1597	20230	14551	26447	40901	32275	11134	 7388	27981	27422	 8334	58877	17532	18556	29453	10167	30374	32763	 2155	35772	14331	25486	 8866	42040	27121	28800	31736	56151	58067	 5847	32746	42279	28078	50447	25157	57089	57222	22919	46052	33081	45331	 3717	  680	 8183	 5879	47370	20784	53521	51672	47828	30552	 2158	 5001	16920	
 66		10524	49311	33966	 4999	37033	17508	38669	21704	40237	21103	57087	10005	37948	26939	 6516	54253	 2553	39211	36446	 7364	29911	27308	48270	20519	49667	57844	45113	34042	38697	56424	20181	56471	22480	48955	24593	14861	  974	20660	59272	16005	10433	24656	27218	48990	47792	37471	57945	36961	 1758	50153	48472	48507	43328	40945	17800	41081	  226	43013	 1755	23097	 9617	36137	 5700	55551	28230	44303	16369	21579	36436	 3654	48138	31836	11273	12279	28383	 1658	44275	37372	55873	40700	39977	39774	30275	48920	58240	20588	54872	43002	36679	49858	30820	 1982	57020	45157	 8556	26568	56198	52334	 1679	39663	45748	57142	15689	 6154	56578	17712	26894	34236	47168	11299	50805	41021	34104	21606	17423	49781	49455	 9742	 4222	25364	58346	 3462	35765	32009	 9143	 1135	59594	22696	  678	55313	 9088	  151	35314	 6287	37211	57900	18961	45678	 2484	35736	20370	30478	29085	28375	23423	23469	51578	40880	17628	37791	10734	12018	51757	14924	56875	57512	44308	31842	52147	35110	57918	30340	14142	10177	 7925	14994	58182	22666	20197	38511	32440	56275	39104	17919	43122	56687	13102	59553	11231	 1693	43648	44553	15011	 5668	12642	19774	30740	36392	54612	37861	23696	 9120	15688	  373	38847	 5164	59421	13705	20757	29855	18264	11550	30737	50788	58698	55204	45199	16663	30087	58334	47652	39528	27469	12355	36356	59666	24036	26416	 5193	11065	32570	12013	 5810	17951	
 67		21712	13913	21837	37844	25809	 7919	41300	19465	38386	 5851	39082	59239	 4531	16261	21229	10416	31055	25787	37260	 1958	49945	30898	15817	11442	40518	27999	25190	28437	41761	44894	43897	35831	30666	39498	  342	30285	 5266	 3227	12783	12692	53160	22325	42496	 7215	25956	23189	28917	45058	49078	52183	53970	56023	51882	49928	56838	 7566	50806	55491	54128	 1128	29105	11556	31080	12881	48826	 2615	10607	35137	 6040	52554	22501	48704	12428	43886	16761	11093	 6574	48603	56390	50175	 6231	 5252	15832	 8027	  462	 1911	50636	 4482	 7849	39199	55153	23763	28435	19904	33683	 8367	42574	 2262	43046	58795	28330	28268	14431	25380	52619	57582	 9905	11228	13258	 9399	15577	47277	28403	27791	 5189	22185	 4128	32269	52937	25898	52084	 8193	43934	44563	13876	58355	15220	43427	10284	43940	17001	50916	19699	56791	55763	47770	57384	29900	31021	23758	57839	18861	43821	12975	57277	22575	47496	  765	44848	 6116	17873	22090	16484	35335	39013	52838	19673	49522	22943	23571	47084	18394	59623	53520	54654	59210	 8891	16363	43747	18407	17398	37754	32118	 2252	28836	48716	43587	50774	42160	32865	46273	 2304	58129	50166	26652	43773	33332	59964	14245	 8937	16314	37974	45520	26533	 6048	54700	43429	23707	 6899	20684	33419	34156	28795	23835	 7026	25049	59103	24527	 3300	54509	22093	27041	 5959	32449	40453	11763	 1004	54674	 3492	32604	53479	46703	21635	13171	
 68		 5261	15680	 5002	41920	13225	49741	40921	40307	34040	31238	22937	 4142	48398	13234	43064	58482	54703	44355	48308	20261	 3104	26578	21341	32958	55058	  837	18672	13064	47338	30322	30083	56091	 2631	32985	23640	49291	52748	 2360	50759	40060	25193	20319	19827	25727	36799	26890	26535	48116	42675	50041	25828	21931	 2847	13729	18970	30378	23770	45043	 6458	55063	37751	41223	33246	11745	49565	14841	50180	14040	53425	54721	43961	38924	57001	59673	44228	18546	53581	 7745	33703	18449	51740	36104	43275	45689	 2734	25278	54968	35950	59851	 2135	43130	29720	56220	25094	29809	39579	43530	58711	20759	54225	41781	 5461	18376	29139	 4348	17705	52254	17118	47625	12546	47919	27068	32625	52492	 2555	12718	52345	56157	27975	37433	 5619	 5551	27941	38012	32744	18576	33187	27567	10445	17693	53893	51019	20607	 8904	33385	16569	57892	57435	18770	33449	29869	58909	21119	14705	  866	39090	35021	14639	31175	41730	 9224	10418	  353	11258	15687	19354	 7870	54114	25340	17593	 8954	11574	28174	 7254	23047	58068	55044	21525	45158	51739	55568	43443	26738	25331	 6840	17726	 5702	44140	45920	 2472	35846	48680	58263	20482	10206	34177	57534	26067	13174	10089	21626	 4683	25344	29087	49788	 6092	 4571	  452	54308	56249	30496	12651	25370	42784	39745	33563	16820	28355	 7490	 8342	18315	47656	33124	46980	55690	15569	 5949	 1837	40685	40862	 7733	44613	54425	14702	
 69		26509	59215	24162	10369	18572	58231	  789	52741	12716	24931	54318	45637	34310	29934	10238	40540	32149	 5089	20867	22062	46603	39796	 5338	23998	 2989	21446	32261	12806	14116	17276	14630	41993	47330	 1926	35296	56009	42772	52200	39678	44523	59931	28022	14925	51131	21618	23657	46635	58408	 6198	34670	27936	42319	10507	50833	46544	47368	36940	29289	 2495	44728	20994	42111	10903	33634	 9681	59928	48082	45996	48734	 1214	30341	33709	30164	41910	58039	31629	58635	25405	18140	24148	22082	17340	35207	47687	26347	10443	12373	24425	22280	12614	56898	45856	37156	 2450	53494	33372	41610	44166	32877	29256	36864	 7953	44843	 9119	25280	16827	13311	32457	58969	32908	 5641	31164	58522	53239	57130	51781	23665	17805	30463	30797	38481	10422	57026	12444	26319	43947	33575	15936	58542	36743	23387	26504	13779	17123	33312	55796	32030	23771	57884	11959	29443	17866	33804	 9863	35435	58777	 9557	16576	31691	45194	 1044	58959	 5114	50087	26709	12245	25535	40557	41702	45943	31399	 2419	46872	 7029	32032	31749	48030	35997	17227	51892	19357	20917	18743	30612	24231	56778	11923	51523	19236	40804	 6331	29091	47008	32456	21187	 7861	52100	57418	36602	55455	 2312	35496	47363	13441	 1318	19449	30486	50494	56533	26670	18597	  865	21986	52020	48380	31510	51650	41323	26972	36447	52465	 3488	54071	54758	39373	18260	41410	29661	 8435	17614	 1022	 4332	37001	46161	
 70		40664	50052	37000	10962	49417	56756	53331	14525	28579	50457	43004	25186	17216	52522	27230	 1770	26808	19556	 1306	41657	41685	33868	11083	38642	 6967	19482	 1730	24199	18408	32943	51493	48378	  632	21077	40230	 4208	30566	30516	22424	15340	23534	14590	29009	30057	 5870	15529	49554	 1346	53913	34242	 7533	27195	12094	42069	18200	20682	41716	29412	 1883	41852	33665	51601	54647	13098	46152	21706	31167	42924	23643	56439	55176	53512	 3983	23298	34369	 4446	31630	51945	30729	29195	20926	12870	52262	59990	28776	59196	  445	51333	23541	47786	40806	58939	46565	16057	34461	32395	54403	10645	48883	48810	30168	22300	 8984	14652	 4444	58822	23632	14406	37461	49867	 7017	36387	 9924	20733	49408	13711	43528	 8526	 9418	26300	 5174	24789	36592	15525	26204	29839	 1290	31864	 7487	44638	50870	41360	57627	54566	24336	36644	41613	49540	 6320	58176	44541	11522	 3857	27062	 5960	31501	14557	37330	 5462	56296	20514	15745	36235	 4049	31827	28575	 8365	12275	37818	39496	17959	48568	54650	46434	27799	 9881	16076	52719	49260	12544	31310	51450	48778	38113	59733	 7820	44237	38818	36006	32133	 4125	33784	 2961	33462	 6531	37025	28216	34338	23315	34534	17595	14953	50491	33233	42378	46030	 1082	39931	54430	 1515	31808	54585	31473	59580	 5303	58345	49587	34304	 5717	43341	15398	40320	29983	42032	27625	25067	  170	54606	20425	 6637	36101	48309	18288	33685	
 71		23065	52018	12390	49721	42119	 5230	34593	 5485	42658	33824	27795	13107	38078	 7744	 9154	 8844	44309	47871	58370	39866	35356	 8588	17847	28638	19734	 4736	54578	48022	33669	19404	 9134	14232	 4134	33334	19049	 2902	38749	41946	36658	57209	19718	34882	44618	51309	 9172	46303	59322	17132	17230	13835	20980	50101	56626	20138	10092	34480	 5559	 9721	21595	58840	53232	52133	49169	45352	50725	20399	37792	19767	49949	50900	 2055	33106	29279	17916	55222	16200	 2680	 7791	10419	49916	54160	53347	17749	22994	28813	46251	14039	43703	16010	26824	 2753	 9067	26368	47586	46176	44187	10798	30437	35234	38918	12921	51445	18022	55140	46682	26403	 4375	36258	45492	54514	46284	43621	47467	15134	 7368	 5463	26358	54302	43183	26782	14224	 1569	20554	46014	14299	18317	 2145	55926	31387	15288	56460	35220	 5496	39456	36425	47857	20213	20095	54089	17555	17266	16784	  448	 9195	 7948	36632	27895	22923	46834	 1090	59056	55998	59121	40093	34326	25615	32494	52472	15646	18261	18329	45677	39139	21159	54001	41533	42115	 1690	22294	52073	 2331	37603	15597	 2478	44909	13294	37274	40462	 5267	31042	33550	20850	47563	29552	58247	19996	 2469	30387	50397	35338	55971	43853	34723	48164	46637	58619	21322	57578	54850	34741	 4517	19468	46578	58041	38987	26705	55662	59499	31136	26979	11914	 1295	29175	34406	33287	 4106	18168	21639	50777	45289	 7122	22339	36232	21612	
 72		20597	28014	10400	 5986	21413	18413	 4292	59269	20900	22245	38188	19910	46305	59936	43203	22220	12044	21275	40755	29936	51541	27426	43649	29013	26835	36227	37896	18183	21568	22481	11394	15152	35030	49301	32104	38182	56473	47252	49371	12981	47476	12580	26750	 9682	 7793	59771	 8419	46674	30173	 8565	59758	 5318	47392	54092	33415	44455	17942	20491	42502	 6573	20766	59246	31142	49150	55104	10103	31340	 4395	24221	22357	28250	50609	53974	 4874	38761	28969	 4070	 3522	21857	45949	24379	23239	35249	36802	43373	26413	31764	34124	 7677	23818	38363	25375	16280	45457	 1954	20089	 9783	46241	59156	13572	22089	21326	26639	42034	47495	52909	17214	25725	41577	 2713	52525	24539	24755	 4453	11052	48736	30445	29474	25182	31714	13018	46487	48433	26734	 2017	33204	42533	48314	50972	43023	15897	59968	25288	38487	25947	  638	14691	 4570	30589	34888	35134	39269	56475	25935	 8635	35903	50963	20564	55308	 8300	11153	 7380	42601	17557	 3274	54928	53919	43953	35007	43955	41617	52715	26385	 8622	40097	30352	50941	58402	16288	 6538	52645	 5220	45401	30519	37914	 2206	49507	12805	32230	59874	37026	40819	53582	 1139	57828	 3579	17297	59330	 3608	11611	53374	28360	55333	38062	 4173	 9977	21041	56582	20450	  568	22949	11900	55830	57929	33143	 8756	18797	19058	 2284	54272	24317	11813	51399	30613	32083	30986	41908	42583	30305	12894	31479	 6187	27718	46777	
 73		55923	54881	42270	 3955	13978	51840	33715	  125	18158	29319	34955	51477	48038	38530	37527	52866	47950	 8380	23558	32904	45880	25081	45150	50829	 1067	42421	21183	35388	44352	33010	55450	47967	 1736	 4229	52782	48126	 6464	13177	26823	32784	33316	48809	34904	 6340	10248	35064	 2220	26691	49443	14355	48002	35127	41378	55303	51443	58618	16494	21613	34141	34290	51192	33461	25011	17602	41242	 4735	27702	 1697	11890	46755	50420	 8544	28071	45720	31865	11931	52609	 1148	27413	19351	35204	13352	16092	55808	  820	 7858	35774	 5793	18660	56244	11325	34728	15359	24695	16020	42696	 6271	11898	53471	58771	20718	19045	27533	57276	17102	14107	56663	29022	18663	28678	20743	44907	20664	 6024	 5005	16160	21926	41833	22672	33901	26225	53421	46707	52281	59470	34312	22317	39053	 6741	24021	54614	24926	49185	39006	28101	28779	17668	34107	15081	41352	19853	40618	 2177	54107	34358	51061	27565	57670	52044	10266	15614	35922	 3228	49823	47697	29702	35942	52910	28025	20586	44074	19928	42812	46408	18954	10399	25868	39637	32873	12209	30751	 1620	14402	48759	   55	33942	46328	11455	44031	 4643	46846	29928	 8862	51376	 9459	47492	 7304	24768	25934	 3455	 6396	16968	36630	 3281	20480	52965	47847	 5564	19139	 6038	 7041	28718	28319	43936	37450	36512	30994	47067	37288	11594	33847	56291	 3735	41559	10034	46592	 2565	21565	 1095	 1296	17087	18562	10976	36278	
 74		50723	 6703	51908	24122	55023	24480	18933	39715	16714	23551	  493	24124	37646	30131	39877	33496	53222	33946	53287	53013	21957	37607	 1002	 5460	20389	42254	40456	18670	42435	12971	29252	35649	33223	19748	30663	30866	42200	 4523	31910	55037	 5740	37047	56575	44495	28921	27738	11812	 5891	 8384	37724	37318	16068	23058	58982	27601	11396	54884	24180	44290	26107	26050	30357	30978	52048	15840	31471	54980	59364	26197	21182	45252	 4592	55853	47099	 1951	30453	 9920	55658	32737	32928	30288	13906	19890	18072	49626	52161	33940	48469	53255	 7879	53629	 5796	49127	35418	32978	51960	39573	59590	48642	 3416	55848	43665	22820	58508	55549	22526	50599	25965	11738	49011	35554	21145	17938	29599	47371	21668	31050	 9615	20169	17551	58805	  831	 4276	30774	43364	49485	31452	27982	32234	34373	 2508	 5544	 1362	58382	44961	34610	39135	31807	 1452	56447	18322	43520	53024	33922	18613	21404	 3724	51371	59426	23141	34193	28068	29867	47415	22362	20031	40807	11136	28801	54752	40038	42904	24812	24489	42074	46409	52462	32999	46557	58617	57748	29507	57733	59745	53985	 4470	21854	24816	36061	51711	42339	15171	27688	55655	18477	36898	53198	31480	19344	14522	56116	28369	17014	37163	55278	39684	12967	27021	40486	 6994	36279	50493	15430	13099	15781	57305	37384	36826	36766	30853	34237	 7647	11219	 3506	27537	57815	 9763	35543	 5240	33543	47537	 4248	33364	22498	
